,lsa_summarization summary
245,"We needed to cut a lot more than coffee expenses.""""We needed to cut expenses.""He would talk about that there were more coffee filters than coffee bags and that means employees are taking coffee home,"" he said.Senior WorldCom executives are accused of orchestrating a huge fraud at the former telecoms company in which they exaggerated revenues and hid the cost of expenses.""We did not talk about these adjustments and the information was false.""He portrayed Mr Ebbers, a charismatic businessman who built up WorldCom from a small regional operator into one of America's largest telecoms firms, as obsessed with costs.Ebbers 'aware' of WorldCom fraud

Former WorldCom boss Bernie Ebbers was directly involved in the $11bn financial fraud at the firm, his closest associate has told a US court.

"
246,"Chairman Louis Schweitzer said 2004 had been a ""great year"" for the firm.

Nissan chairman Carlos Ghosn is to succeed Mr Schweitzer at the head of Renault later this year.

Renault sold more than 2.4 million vehicles in 2004, an increase of 4% on the previous year.Japanese carmaker Nissan - in which Renault owns a 44% stake - contributed 1.7bn euros in net income over the year.The firm will benefit from the launch of a new Clio model in the coming year and the roll-out of the Logan in many markets.Renault boss hails 'great year'

Strong sales outside western Europe helped Renault boost its profits by more than 40% in 2004 although the firm warned of lower margins this year.

However, the firm said it expected operating margins to be lower in 2005, at 4% of sales as opposed to 5%."
247,"Although the figures point to a slowdown in the market, the most recent surveys from Nationwide and Halifax have indicated the market may be undergoing a revival.Survey confirms property slowdown

Government figures have confirmed a widely reported slowdown of the UK's housing market in late 2004.

The government figures are the first official confirmation of falls in the market at the end of 2004.After registering falls at the back end of 2004, Halifax said house prices rose by 0.8% in January and Nationwide reported a rise of 0.4% in the first month of the year.Land Registry figures are less up to date than those of banks and building societies, since they record completions not mortgage approvals.There was also a decline in the number of million-pound properties sold in the capital, with 436 properties over Â£1m sold compared to 469 for the same period in 2003.Members of the Bank of England's rate-setting committee will make their latest decision on interest rates on Thursday.
"
248,"But the budget is still the tightest yet under Mr Bush's presidency.The deficit, partly the result of massive tax cuts early in Mr Bush's presidency, has been a key factor in pushing the US dollar lower.Yet Mr Bush's proposed spending of $3bn on that project is well below his initial promise of $5bn.

Mr Bush has promised to halve the US's massive budget deficit within five years.Mr Bush also wants to increase the amount given to poorer countries through his Millennium Challenge Corporation.Congress will spend several months debating George W Bush's proposal.

But its estimates depend on the tax cuts not being made permanent, in line with the promise when they were passed that they would ""sunset"", or disappear, in 2010."
249,"But investors have been less than impressed with Lenovo's move, designed to take it out of China and further onto the world stage.But Western firms such as Dell and Hewlett-Packard are also mounting a more solid fight for market share in China, and Lenovo's sales were down 3.7% by revenue to HK$6.31bn.

The company is still by far the biggest player in China, with more than a quarter of the market.The reports of the possibility of an investigation into the risk sent Lenovo's shares up 6% in late January.
There have been rumours that the deal could be in trouble because US government agencies fear it could offer China opportunities for industrial espionage.Its shares are down 20% since the announcement two months ago, largely because of the unprofitability of the unit it is buying.In any case, margins in PC market are now wafer thin, and profits have been hard to come by for most vendors except direct-sales giant Dell."
250,"Shares in MCI, which changed its name from Worldcom when it emerged from bankruptcy, were up 2.4% at $20.15.MCI was renamed after it emerged from Chapter 11 bankruptcy protection in April last year.It hit the headlines as Worldcom in 2002 after admitting it illegally booked expenses and inflated profits.Shareholders lost about $180bn when the company collapsed, while 20,000 workers lost their jobs.Former Worldcom boss Bernie Ebbers is currently on trial, accused of overseeing an $11bn fraud.
MCI shares climb on takeover bid

Shares in US phone company MCI have risen on speculation that it is in takeover talks.

The scandal was a key factor in a global slide in share prices and the reverberations are still being felt today."
251,"More than 100 telecom firms, consumer groups and other interested parties are expected to make submissions to the regulator during this consultation phase.The move comes after telecom regulator Ofcom said in November that the firm must offer competitors ""real equality of access to its phone lines"".Ofcom is expected to spend the next few weeks examining the proposals before making an announcement within the next few months.
""The big question now is whether the industry, and particularly Ofcom feels BT's proposals go far enough ...Now the real negotiation begins,"" director of telecoms research Tony Lavender said.Ofcom is carrying out a strategic review aimed at promoting greater competition in the UK telecom sector.This latest submission was delivered to the watchdog ahead of a deadline for the second phase of its review.

BT's competitors have frequently accused it of misusing its status as the former telecoms monopoly and controller of access to many customers to favour its own retail arm.

"
252,"Nevertheless it was enough to push down the unemployment rate to 5.2%, its lowest level since September 2001.""We are not getting the boost to employment that we would have got given the low value of the dollar and the still relatively low interest rate environment.""Jobs growth still slow in the US

The US created fewer jobs than expected in January, but a fall in jobseekers pushed the unemployment rate to its lowest level in three years.

""It suggests that employment is continuing to expand at a moderate pace,"" said Rick Egelton, deputy chief economist at BMO Financial Group.Analysts said the growth in new jobs was not as strong as could be expected given the favourable economic conditions.As a result, job creation became a key issue in last year's election.""That means there are a limited number of new opportunities for workers."
253,"Mr Chernin, however, told the FT that News Corp was finding it difficult to identify a suitable target.News Corp eyes video games market

News Corp, the media company controlled by Australian billionaire Rupert Murdoch, is eyeing a move into the video games market.

According to the Financial Times, chief operating officer Peter Chernin said that News Corp is ""kicking the tyres of pretty much all video games companies"".Activision has a stock market capitalisation of about $2.95bn (Â£1.57bn), compared to EA's $17.8bn.Video games are ""big business"", the paper quoted Mr Chernin as saying.We ""would like to get into it"".

The days of arcade classics such as Space Invaders, Pac-Man and Donkey Kong are long gone."
254,"The PPI added that once the state system was reformed the government should look at options to overhaul private and workplace pensions.The Pensions Policy Institute (PPI) said replacing the state pension with a ""citizen's pension"" would help tackle inequality and complexity.Call to overhaul UK state pension

The UK pension system has been branded inadequate and too complex by a leading retirement think-tank.

Reform could reduce poverty by aiding people with broken employment records.

The change would see pensions being calculated on length of residency in the UK rather than National Insurance (NI) contributions.As a result, living standards could fall for the next generation of UK pensioners.The report added that a combination of higher taxes, higher savings and/or a higher average retirement age was needed to solve the UK pension crisis.
"
255,"""I am surprised at the weak fourth quarter number.In the fourth quarter, the city state's gross domestic product (GDP) rose at an annual rate of 2.4%.That was up from the third quarter, when it fell 3.0%, but was well below analyst forecasts.However, a slower-than-expected fourth quarter points to more modest growth for the trade-driven economy in 2005 as global technology demand falls back.The main drag came from electronics,"" said Lian Chia Liang, economist at JP Morgan Chase.The economy's poor performance in the July to September period followed four consecutive quarters of double-digit growth as Singapore bounced back strongly from the effects of the deadly Sars virus in 2003.
Slowdowns in the US and China could hit electronics exports, while the tsunami disaster may effect the service sector.

"
256,"Turkey knocks six zeros off lira

Turkey is to relaunch its currency on Saturday, knocking six zeros off the lira in the hope of boosting trade and powering its growing economy.

The government hopes the change will be seen as a promise of growing economic stability as Turkey embarks on the long process of trying to join the European Union.

The government hopes that the new currency will cement the country's economic progress, two weeks after EU leaders set a date for the start of Turkey's accession talks.

On an everyday level, it is hoped the change will stimulate more international trade and end confusion among foreign investors and Turks alike.""Now at least in cosmetic terms it will look like real currency.""The currency - officially to be known as the new lira - will be launched at midnight on 1 January.Turkey had to turn to the International Monetary Fund for financial assistance, accepting a $18bn loan in return for pushing through a wide-ranging austerity programme."
257,"The problem facing South Korea is that many consumers are reeling from the effects of a credit bubble that only recently burst.The government's main problems are ""slumping consumption and a contraction in the construction industry"".The government voiced concern about the effect of redundancies in the building trade.""Given the economic spill over and employment effect in the construction sector, a sharp downturn in the construction industry could have other adverse effects,"" the ministry said.

As a result, South Korea will give private companies also will be given the chance to build schools, hospitals, houses and other public buildings.Millions of South Koreans are defaulting on their credit card bills, and the country's biggest card lender has been hovering on the verge of bankruptcy for months.Other plans on the table include promoting new industries such as bio-technology and nano-technology, as well as offering increased support to small and medium sized businesses."
258,"Higher oil prices also helped boost exports, as Mexico and Venezuela are important oil exporters.Both organisations also warned that high oil prices raise the risk of either inflation or recession.

Chinese and US economic strength helped boost exports, as did strong demand for agricultural and mining products.Strong recovery in some countries, such as Venezuela and Uruguay, boosted the overall performance of the region.Doubts about the strength of the US recovery and overheating of the Chinese economy do however pose risks for 2005.Regional blocs as well as free trade agreements with the US contributed to the region's strong performance, the IADB said.
The Inter-American Development Bank (IADB) said regional exports reached $445.1bn (Â£227bn;331bn euros) in 2004."
259,"Expectations of strong corporate earnings in 2005 drove the Indonesian stock exchange in Jakarta to a record high on Wednesday.Asia shares defy post-quake gloom

Indonesian, Indian and Hong Kong stock markets reached record highs.

""

India's Bombay Stock Exchange inched slightly above its previous record close on Wednesday.Sri Lanka's stock market has fallen about 5% since the weekend, but it is still 40% higher than at the start of 2004.

""Calculators will have to wait,"" said an IMF official in a briefing on Wednesday.In Hong Kong, the Hang Seng index may be benefiting in part from the potential for its listed property companies to gain from rebuilding contracts in the tsunami-affected regions of South East Asia.Thailand may lose 30bn baht (Â£398m; $768m) in earnings from tourism over the next three months, according to tourism minister Sontaya Kunplome.

"
260,"""But the reaction would have been seen if business had been affected.""Although it is commonly assumed on the basis of anecdotal evidence that disasters result in business failures and bankruptcies on a large scale, our research indicates that most businesses, even those that are especially hard-hit, do indeed recover,"" the authors concluded.

Business sense probably tends to overrule everything else.A study of the 1993 Des Moines floods, from the Disaster Research Center at the University of Delaware*, found that 70% of local businesses were no worse off after the disaster, and another 18% felt themselves better off.Tourist businesses, the most likely sufferers, are either foreign-owned or too small to have their shares listed.According to the Natural Hazards Research and Applications Information Center at Colorado State University, there is little evidence that disasters are inevitably followed by a depression.For a start, the notional insurance cost of the disaster will have little bearing on corporate bottom lines."
261,"But the disaster has little impact on stock markets in the US and Asia.

However, the overall impact on Asia's largest stock market, Japan's Nikkei, was slight.""

The unfolding scale of the disaster in south Asia had little immediate impact on US shares, however.""The impact on the tourist industry is pretty devastating, especially in Thailand.""However, their losses were much smaller, reflecting the market's view that reinsurers were likely to pick up the bulk of the costs.Concerns about the strength of economic growth going forward weighed on the currency markets.In Asian markets, adjustments were made quickly to account for lower earnings and the cost of repairs."
262,"Any investor accepting the compensation will have to waive the right to take their case to the Financial Ombudsman Service.

""This should save investors from having to take their case to the Financial Ombudsman Service, something, no doubt, that will be very welcome,"" Rob McIvor, FSA spokesman, told BBC News.Investors in these two firms may now have to take any compensation claim to the Financial Ombudsman Service or the courts.
Mr McIvor told the BBC that the final settlement figure was smaller because two unnamed firms had pulled out of the compensation negotiations.But when the stock market collapsed in 2000, the products left thousands of investors out of pocket.Further details of how investors will be able to claim their share of the compensation package will be announced in the new year.Firms involved were presented with 780 files of evidence detailing 27,000 taped conversations and over 70 interviews."
263,"But a deal with either bidder would create the biggest stock market operator in Europe and the second biggest in the world after the New York Stock Exchange.

Euronext, so far, has given little away as to what sweeteners it will offer the LSE - Europe's biggest equity market - into a deal.
French suitor holds LSE meeting

European stock market Euronext has met with the London Stock Exchange (LSE) amid speculation that it may be ready to launch a cash bid.

The German exchange said it had held ""constructive, professional and friendly"" talks with the LSE.But Euronext declined to comment after the talks ended on Friday.German politicians are also said to be angry over the market operator's promise to move its headquarters to London if a bid were successful.

So far, however, neither have tabled a formal bid."
264,"Marsh's new chief executive, Michael Cherkasky, is trying to negotiate a settlement with Mr Spitzer.This is the issue at the heart of the inquiry by New York's top law officer, Eliot Spitzer, and a separate prosecution of five insurers by the State of California.Since that inquiry was launched in October, Marsh has replaced its chief executive and held a boardroom shake-out to meet criticism by lessening the number of company executives on the board.Mr Spitzer has built up a reputation as a fierce critic and campaigner against corporate America's misdeeds.

Marsh is also the focus of an inquiry the New York attorney-general into whether insurers rigged the market.Doubts also exist over how much the company may have to pay regulators and lawyers to put the scandal behind.
The uncertainty unleashed by the scandal has prompted three credit rating agencies - Standard & Poor's, Moody's and Fitch - to downgrade Marsh in recent weeks."
265,"The report highlights the case of Sibneft, a Russian oil company that came close to merging with Yukos last year.The case against Yukos, for example, has moved in fits and starts, with little clarity from the government about its intentions, and little faith from investors that the letter of the law would be followed.Since Yukos' founder, Mikhail Khodorkovsky, was arrested a year ago, the Russian market has dropped by 10% - an indication that few investors feel optimistic about the salutary effect on corporate performance.
Could Yukos be a blessing in disguise?

The study, from the Centre for Economic Policy Research, does not praise the rough handling of oil company Yukos.For all its faults, corporate Russia has become far more orderly and law-abiding since 2000.In fact, the alarmingly close connections between big business and government in Russia - connections often greased by bribery - blur the apparently antagonistic relationship."
266,"It technically went public in 2002 when the stock started trading on the OTC Bulletin Board, which lists equities that trade only occasionally.Some observers see this as another step closer to a full public listing.According to a registration document filed with the Securities and Exchange Commission, Nasdaq Stock Market plans to raise $100m (Â£52m) from the sale.Nasdaq planning $100m share sale

The owner of the technology-dominated Nasdaq stock index plans to sell shares to the public and list itself on the market it operates.

A recovery in the fortunes of tech giants such as Intel, and dot.com survivors such as Amazon has helped revive its fortunes.
It was the most potent symbol of the 1990s internet and telecoms boom, nose-diving after the bubble burst.Nasdaq will not make money from the sale, only investors who bought shares in the private placings, the filing documents said."
267,"One way to spread the risk is to invest in the stock market through a unit or investment trust.These funds may be actively managed, where a fund manager picks individual stocks based on a view of their future potential, or passive, where a manager invests in all the shares that comprise a stock market index, for example, the FTSE 100.Over the longer term, stock market funds have outperformed other types of investment, although in the shorter term they can be volatile.As the Child Trust Fund will not be in force in time for Christmas, relatives could invest their gifts in a higher rate children's deposit account, and use this as a feeder fund.

One of the benefits of investing for children is that investment is generally for the longer term - more than ten years - which helps to reduce the risks associated with investing in shares.These are pooled investment funds which give access to a wide range of shares.The government is trying to encourage saving at an early age, through its new Child Trust Fund."
268,"The shares will be denominated in Hong Kong dollars.No further details of the share price or number of shares were given.

Share trading will begin on 15 December, the LSE said.Merrill Lynch are sole bookrunners for Air China's flotation, which will take the form of a share placing with institutional investors in London, though retail investors may be able to buy Air China shares in Hong Kong.It opened an Asia-Pacific office in Hong Kong last month.Air China's primary listing will be in Hong Kong, with a secondary listing in London.Germany's Chancellor Gerhard Schroeder began a three-day visit to Beijing on Monday by signing a deal worth 1bn euros ($1.3bn; Â£690m) for Airbus to sell 23 new planes to Air China, the Deutsche Welle radio station reported."
269,"London Brent crude closed at $40.15 on Thursday - a drop of 5.1% - having dived below $40 a barrel for the first time since mid-September.In London, the FTSE 100 index closed 15 points higher at 4,751.US light crude traded in New York lost more than $2 to $43.25, its lowest close since 10 September.Opec nations have increased production to 25-year highs to meet global demand and this has helped rebuild US stocks hit by supply disruptions after Hurricane Ivan in September.The stronger fuel inventories helped boost US stock markets to nine-month highs on Wednesday, though only the Nasdaq index had hung onto those gains by the end of Thursday.

The falls were triggered when the Energy Information Administration (EIA) said on Wednesday that US crude stocks were 3.5% higher than a year ago.Traders were also encouraged by comments on Wednesday from the energy minister of Opec member Algeria."
270,"""

Mr Dein said that, although television money and coverage had driven the English game forward in the past 10 years, he feared there might now be too many games being shown.""Television has been the driving force over the past 10 years... but we must constantly improve if we want to remain as the world's leading league competition.Mr Dein also warned the current level of TV coverage of the Premiership may be reaching saturation level, with signs that match attendances have been dropping off in the first few months of this season.

Since the formation of the Premier League in season 1992/93, Premiership clubs have seen their income from television soar.""I think we have practically reached saturation point...""When the new stadium opens we will go through a thorough financial review,"" Mr Dein said.

""We must monitor the quality of the product and ensure attendances do not decline, and we must balance that with the quantity of exposure on TV too."
271,"Markets signal Brazilian recovery

The Brazilian stock market has risen to a record high as investors display growing confidence in the durability of the country's economic recovery.

The market's buoyancy reflects optimism about the Brazilian economy, which could grow by as much as 4.5% in 2004.Analysts believe the stock market will rise above the 25,000 mark for the first time before too long.The main Bovespa index on the Sao Paolo Stock Exchange closed at 24,997 points on Friday, topping the previous record market close reached the previous day.Investors have praised his handling of the economy as foreign investment has risen, unemployment has fallen and inflation has been brought under control.Although interest rates still stand at a punitive 17.25%, inflation has fallen from 9% to 7% while exports are booming, particularly of agricultural products.""Government accounts are in surplus, we have a current account surplus and inflation is under control."
272,"Similarly, Asian investment helps bridge the gap in the current account - the deficit between what the US as a whole spends and what it earns.And Mr Greenspan warned Asian states could soon stop funding the US deficit.

""It seems persuasive that, given the size of the US current account deficit, a diminished appetite for adding to dollar balances must occur at some point,"" he said.
US exports get more affordable, helping perhaps to close the trade gap.The latest to pitch in has been President George W Bush himself, who told the Asia Pacific Economic Co-operation (Apec) summit in Chile that he remained committed to halving the budget deficit.But in a speech on Friday, Federal Reserve chairman Alan Greenspan warned that in the longer term things are likely to get tricky.But Mr Snow made clear exchange rates had not been on the agenda.

"
273,"The restriction - known as a lockup - is being eased piecemeal: in all, some 227 million additional shares will become free to trade by February 2005.Restrictions were imposed ahead of its flotation in August, to prevent shares being dumped quickly onto the market.There were fears that the potential increase of shares in circulation from Tuesday would ease demand for stock.In one of the most closely-watched initial public offerings in stock market history, the US-based company sold 19.6 million shares at $85 each.In its first earnings report since floating on the stock market, Google said it made a net profit of $52m in the three months ending 30 September.However, analysts say they expected most shareholders would be holding back from selling all their shares immediately, as Google's good performance and future growth potential means demand will hold.

It also sells the use of its technology to companies who need to make either their websites, or their internal information systems, searchable.
"
274,"Adjusted for the seasonal factors, the German jobless total rose by 227,000 in January from December.
On Wednesday, the German Federal Labour Agency said the jobless total had reached 5.037 million in January, which takes the jobless rate to 12.1%.It said there are a further 1.5 million-2 million people on subsidised employment schemes who are, in fact, looking for real jobs.Five million Germans out of work

Germany's unemployment figure rose above the psychologically important level of five million last month.

""They could well put an end to the recent renaissance we've seen by the SPDUnemployment has not been this high in Germany since the 1930s.

""

"
275,"The 865 million share offer, a mix of new shares and sales by the government, raised 54bn rupees($1.2bn).The share offer was eleven times oversubscribed.NTPC has said it will use the money from the share sale to feed the growing needs of the country's energy-starved economy.The government's partial sell-off of NTPC is part of a controversial programme to privatise state-run firms.""It is a good investment bet,"" said Suhas Naik, an investment analyst from ING Mutual Fund.India power shares jump on debut

Shares in India's largest power producer, National Thermal Power Corp (NTPC) have risen 13% on their stock market debut.

Analysts say the success of the NTPC flotation would encourage the government to reduce stakes in more power companies."
276,"As Turkey's gross domestic output (GDP) is set to grow by 6% per year on average, its contribution would rise from less than 5bn euros in 2014 to almost 9bn euros by 2020.Costs are projected to be vast during the early years of Turkey's membership, with subsidies alone estimated to exceed 16.5bn euros and, according to some predictions, balloon to 33.5bn euros.However, Turkey's assertions are confirmed by Brussels' own impact studies, which indeed say that Turkish membership would be good news for the EU economy.The economy is growing fast, they insist.""In the new member states of the European Union, gross public debt is typically about 40% of gross domestic product,"" says Reza Moghadam, assistant director of the IMF's European Department.If admitted into the EU, Turkey would contribute almost 6bn euros ($8bn; Â£6bn) to its budget by 2014, according to a recent impact study by the country's State Planning Organisation.""At about 80% of GDP, Turkey's gross debt is double that figure."""
277,"The takeover is subject to approval by AT&T's shareholders and regulators.The deal will be financed with $15bn of shares as well as a $1bn special dividend paid to AT&T shareholders.

The takeover was announced on Monday.It effectively marks the end of AT&T, which was founded in 1875 by telephone pioneer Alexander Graham Bell and is one of the US's best-known companies.The companies said they expected to complete the agreement during the first half of 2006.
SBC plans post-takeover job cuts

US phone company SBC Communications said it expects to cut around 12,800 jobs following its $16bn (Â£8.5bn) takeover of former parent AT&T.

SBC said 5,125 positions would go as a result of network efficiencies.SBC currently employs 163,000 people while AT&T employs 47,000."
278,"Ahead of talks with the LSE on Friday, the pan-European bourse said it may be prepared to make its offer in cash.In a statement on Thursday, Euronext said any offer was likely to be solely in cash, but added that: ""There can be no assurances at this stage that any offer will be made.""However, neither side has made a formal offer for the LSE, with sources claiming such a step may still be weeks away.

However, the LSE did agree to leave the door open for talks to find out whether a ""significantly-improved proposal"" would be in the interests of LSE's shareholders and customers.In the meantime, Euronext, which combines the Paris, Amsterdam and Lisbon stock exchanges, also began talks with the LSE.Werner Seifert met LSE chief executive Clara Furse amid rumours the German group may raise its bid to Â£1.5bn ($2.9bn) from its initial Â£1.3bn offer.However, rival suitor Euronext also upped the ante in the bid battle."
279,"However, the business of selling investments was never integrated with the rest of the group.
""This is an excellent move by American Express to focus on its core businesses, and sell off a laggard division, which has been a problem for quite some time,"" said Marquis Investment Research analyst Phil Kain.AEFA has more than 12,000 advisers selling financial advice, funds and insurance to 2.5 million customers.Analysts estimate that a stand-alone AEFA could have a market value of $10bn (Â£5.3bn).Over the years it has delivered poor profits and even some losses.

The unit was acquired by American Express 20 years ago as Investors Diversified Service, of Minneapolis, at a time when firms were amassing one-stop financial empires.Amex shares up on spin-off news

Shares in American Express surged more than 8% on Tuesday after it said it was to spin off its less profitable financial advisory subsidiary.

"
280,"Axa blamed a poor stock market performance for the cut, adding that recent gains have not yet offset the market falls seen in 2001 and 2002.However, heavy stock market falls throughout 2001 and 2002 forced most firms to trim bonus rates on their policies.""The stock market has grown over the past 18 months, however not enough to undo the damage that occurred during 2001 and 2002,"" Axa spokesman Mark Hamilton, Axa spokesman, told BBC News.With-profits policies are designed to smooth out the peaks and troughs of stock market volatility.The rest will know their fate in March.

This equated to a annual investment growth rate of 8% Axa said.Regular annual bonus rates on former Axa Equity & Law with-profits policies are to be cut from 2% to 1% for 2004."
281,"The builder of the Three Gorges Dam is continuing work on the sister Xiluodu dam, said the Beijing News.The Beijing News said the company may instead choose to pay a fine.Chinese dam firm 'defies Beijing'

The Xiluodu Dam is designed to produce 12,600 MW of electricity, and is being built on the Jinshajiang - or ""river of golden sand"" as the upper reaches of the Yangtze are known.It is a sister project to the main Three Gorges Dam downstream where more than half a million people have had to be relocated, drawing criticism from environmental groups and overseas human rights activists.
""The Three Gorges Corporation has all along abided by the law and have built our projects in accordance with the law,"" it said.

The Xiluodu dam is one of 30 such large-scale construction projects called to a halt because of a lack of proper environmental checks."
282,"Earlier this month, the quarterly Tankan survey of Japanese manufacturers found that business confidence had weakened for the first time since March 2003.

The optimism in the financial markets contrast sharply with pessimism in the Japanese business community.Slower economic growth, rising oil prices, a stronger yen and weaker exports were blamed for the fall in confidence.In 2005 it ""will rise toward 13,000"", predicted Morgan Stanley equity strategist Naoki Kamiyama.Despite this, traders expect strength in the global economy to benefit Japan, which has been close to sliding into recession in recent months.Stock market eyes Japan recovery

Japanese shares have ended the year at their highest level since 13 July amidst hopes of an economic recovery during 2005.

Structural reform within Japan and an anticipated end to the banking sector's bad debt problems should also help, they say.
"
283,"Hopes are high for the future of finance, so foreign banks have been buying into the sector.National Bank of Kuwait has bought a majority stake in Credit Bank of Iraq, the Jordanian investment bank Export & Finance Bank has bought 49% of National Bank of Iraq.

Foreign firms also hope to cash in on the reconstruction effort.So there is much hope that an elected government will break the deadlock.An indication of this can be seen in the world of finance where, in contrast with the daily plight of ordinary people, 19 private banks operate, only one of which is run in accordance with Islamic banking principles.""

Many foreign companies say they are keen to get in on the act, yet few are actually entering the country in any meaningful way.But the involvement of foreign firms in the health and banking sectors and beyond sits uneasily with many Iraqis who are accustomed to the state taking responsibility for functions that are essential to making society work, observes Ms Alexander."
284,"Many people expect the 2010 target to be quietly dropped.
The Lisbon Agenda set out to increase the number of people employed in Europe by encouraging more older people and women to stay in the workforce.Their economic targets became known as the Lisbon Agenda.It also set out to raise the amount the private sector spends on research and development, while bringing about greater discipline over public spending and debt levels.Next week, the Commission will present revised proposals to meet the Lisbon goals.The study, undertaken by the European Commission, sought to assess how far the EU has moved towards meeting its economic targets.In 2000, EU leaders at a summit in Lisbon pledged the European economy would outstrip that of the US by 2010."
285,"Despite the apparent rebalancing of the economy the overall growth picture remains strong, economists said.China's economy is not only gathering speed thanks to domestic demand, but also from soaring sales overseas.China continues breakneck growth

China's economy has expanded by a breakneck 9.5% during 2004, faster than predicted and well above 2003's 9.1%.

Part of the impetus comes from the relative cheapness of the yuan, China's currency.But officials pointed out that industrial growth had slowed, with services providing much of the impetus.The news may mean more limits on investment and lending as Beijing tries to take the economy off the boil.""There is no sign of a slowdown in 2005,"" said Tim Congdon, economist at ING Barings.

"
286,"Mr Toshitsune wants to outlive everyone.But none of this is Mr Toshitsune's concern anymore.Mr Toshitsune is one of Japan's 23,000 centenarians - a club that is growing by 13% annually, and where the oldest member is 114.And the 101-year-old Torao Toshitsune has eaten raw fish pretty much every day throughout his life.

At his neat Osaka detached house, where he lives with one of his sexagenarian daughters, Mr Toshitsune keeps a regular routine of copying out Buddhist sutras and preparing the traditional Japanese tea ceremony.But while life may be a game of golf for Mr Shimizu, his grandchildren have huge problems ahead.On the outskirts of Kyoto, 83-year-old Yuji Shimizu contemplates this phenomenon during a round of golf with his younger friends, who are in their seventies.

"
287,"GE's net profits were $5.37bn (Â£2.86bn) for the final three months of 2004, while sales came in at $43.7bn.Net profit was up 6% at $16.6bn.GE sees 'excellent' world economy

US behemoth General Electric has posted an 18% jump in quarterly sales, and in profits, and declared itself ""in great shape"".

""The industries GE is in are doing very well.Full year 2004 gains were less spectacular, but still respectable.GE is the US' biggest firm based on stock market valuation.The materials, financial and industrial sectors are all picking up,"" said Steve Roukis, an analyst at fund manager Matrix Asset Advisors, which has shares in GE."
288,"However, the BCC found the whole UK economy still faced ""major risks"" and warned that growth is set to slow.UK economy facing 'major risks'

The UK manufacturing sector will continue to face ""serious challenges"" over the next two years, the British Chamber of Commerce (BCC) has said.

It recently forecast economic growth will slow from more than 3% in 2004 to a little below 2.5% in both 2005 and 2006.

The rise came despite exchange rates being cited as a major concern.Manufacturers' domestic sales growth fell back slightly in the quarter, the survey of 5,196 firms found.""
""These results reinforce our concern over the sector's persistent inability to sustain recovery."""
289,"""Dismal reports from the retail trade about Christmas sales are worrying, if they indicate a more general weakening in consumer spending.And retail sales disappointed over Christmas, with analysts putting the drop down to less consumer confidence.

The ONS said manufacturing output dropped 0.1% in November, matching a similar unrevised fall in October and confounding economists' expectations of a 0.3% rise.Recent data has indicated a slowdown in manufacturing and consumer spending, as well as in mortgage approvals.""

On Thursday there was more gloomy news on the manufacturing front, as the Office for National (ONS) statistics revealed British manufacturing output unexpectedly fell in November - for the fifth month in the past six.Rising interest rates and the accompanying slowdown in the housing market have knocked consumers' optimism, causing a sharp fall in demand for expensive goods, according to a report earlier this week from the British Retail Consortium.CBI chief economist Ian McCafferty said the economy had ""slowed in recent months in response to rate rises"" but that it was difficult to gauge from the Christmas period the likely pace of activity through the summer."
290,"The court in Washington found the case - filed by the Clinton administration in 1999 - could not be brought under federal anti-racketeering laws.They brought the case under racketeering laws, which were passed to deny mafia gangs the profits of their crimes.""We hold that the language of (the law) and the comprehensive remedial scheme of (the law) preclude disgorgement as a possible remedy in this case,"" he wrote.The three-judge panel in the District of Columbia's Court of Appeals ruled on Friday that the US government could not sue the firms under the anti-racketeering laws.Judge David Sentelle, in his ruling, said such laws were aimed at putting an end to illegal conduct going forward.""All we're saying today is that we have received the ruling and are reviewing it,"" a spokeswoman said on Friday.Prosecutors wanted the cigarette firms to ""disgorge"" $280bn in profits accumulated over the past 50 years and impose tougher rules on marketing their products."
291,"While worries still remain, the conditions are set for steady growth in 2005, analysts said.While demand for workers is far from booming, the conditions are set for steady growth.Steady job growth continues in US

The US created fewer jobs than expected in December, but analysts said that the dip in hiring was not enough to derail the world's biggest economy.

""Payroll growth in December was a little lighter than the consensus forecast, but we had upward revisions to the prior two months and an increase in manufacturing employment.""The unemployment rate stayed at 5.4% in December, and about 200,000 jobs will need to be created each month if that figure is to drop.

""It was a respectable report,"" said Michael Moran, analyst at Daiwa Securities.

But economists said there could be a number of reasons for a fall in the borrowing, which include credit cards and personal loans, while noting that such figures can vary on a month-to-month basis.
"
292,"They have vehemently opposed any proposed takeover by Glazer since he first showed interest in the club in September 2003 and after Sunday's announcement they vowed to fight on.""The campaign against this proposed takeover will continue as it has done since Glazer first showed interest in the club.""A further announcement will be made in due course.But the Irish duo have cut off talks with Glazer over the proposed sale of their stake and have so far made no comment on his latest approach.""

To succeed Malcolm Glazer will still need the approval of major shareholders John Magnier and JP McManus, who own 28.9% of the club.""We will fight tooth and nail to stop him whatever his offer says.""
"
