,text_matching_algorithm summary
207,"China's Shanda buys stake in Sina

Chinese online game operator Shanda Interactive Entertainment has bought a 20% stake in Sina, the country's biggest internet portal firm.

However, Mr Cheung noted that a foreign company trying to take control of a Chinese internet portal firm, with its ability to filter and pass on news, may not be viewed very favourably by Beijing.
The move may be a precursor to a full takeover, with analysts saying that a better-known international firm may also now show an interest in Sina.A merger would create a firm that offers online role-playing games, news, entertainment and wireless messaging.

And there may be more gains amid bid speculation when trading resumes in New York on Tuesday after Monday's public holiday, analysts forecast.They added an extra 6.4% to $27.24 in electronic trading after the trading session had finished.Sina said that the purchase of a stake by Shanda would have no impact on its business.

"
208,"The board of Man Utd is expected to meet early this week to discuss the latest proposal from the US tycoon that values the club at Â£800m ($1.5bn).But the Man Utd supporters club urged the club to reject the new deal.David Cummings, head of UK equities for Standard Life Investments, said he believed a ""well funded"" 300p a share bid would be enough for Mr Glazer to take control of the club.The US tycoon, who has been wooing the club for the last 12 months, has approached the United board with ""detailed proposals"", it has confirmed.

A proposal was received by David Gill, United's chief executive, at the end of last week, pitched at about 300p a share.A senior source at the club told the BBC: ""This time it's different"".A spokesman for the supporters club said: ""I can't see any difference (compared to Mr Glazer's previous proposals) other than Â£200m less debt."
209,"Gold falls on IMF sale concerns

The price of gold has fallen after the International Monetary Fund (IMF) said it will look at ways of using its gold reserves to provide debt relief.

While debt relief seems to have jumped to the top of the global agenda, not everyone is convinced that selling IMF gold is the best way forward.The IMF values its gold reserves at between $40 and $50 an ounce, a price that was fixed in the 1970s and is about a tenth of the metal's current market value.Bringing the book price of the gold in line with market value would boost the IMF's balance sheet, giving it more money to distribute.

""This is the first time there has been a mention of the use of gold in a G7 communiqu&#233; for achieving debt relief,"" said UK Chancellor of the Exchequer Gordon Brown.The US, which can veto any plan to sell IMF gold should it so choose, said it is looking at other ways of solving the problem.By revaluing its holdings, the IMF may be able to sell billions of dollars of gold and use the cash to cancel debts owed by the world's poorest nations."
210,"The display market for high-definition televisions is split between models using plasma display panels and others - manufactured by the likes of Sony and Samsung - using liquid-crystal displays (LCDs).Hitachi recently announced a deal to buy plasma display technology from rival Fujitsu in an effort to strengthen its presence in the market.

The plasma panel market has seen rapid consolidation in recent months as the price of consumer electronic goods and components has fallen.They said the agreement would enable the two companies to expand the plasma display TV market globally.

Electronics firms eye plasma deal

Consumer electronics giants Hitachi and Matshushita Electric are joining forces to share and develop technology for flat screen televisions.

The deal will enable Hitachi and Matsushita, which makes Panasonic brand products, to develop new technology and improve their competitiveness.Separately, Fujitsu announced on Monday that it is quitting the LCD panel market by transferring its operations in the area to Japanese manufacturer Sharp."
211,"According to the Observer, 3,000 jobs - out of a total workforce of 6,500 - could be lost if the deal goes ahead.According to the FT, the regulator has been annoyed by Rover's decision to talk publicly about the deal and the intense speculation which has ensued about what it will mean for Rover's future.As a result, hopes that approval of the deal may be fast-tracked have disappeared, the paper said.The Observer reported on Sunday that nearly half the workforce at Longbridge could be under threat if the deal goes ahead.

The proposed deal was seen as crucial to safeguarding the future of Rover's Longbridge plant in the West Midlands.Shanghai Automotive's proposed Â£1bn investment in Rover is awaiting approval by its owner, the Shanghai city government and by the National Development and Reform Commission, which oversees foreign investment by Chinese firms.However, there are growing fears that the deal could result in job losses."
212,"Joyce Johnston, principal of the college, said: ""It is very fitting that the world's premier economist delivered this lecture in tribute to the world's first economist.""Following his lecture, Dr Greenspan - who received an honorary knighthood from the Queen at Balmoral in 2002 - was awarded an honorary fellowship of the Royal Society of Edinburgh.""The incredible insights of a handful of intellectuals of the Enlightenment - especially with Smith toiling in the environs of Kirkcaldy - created the modern vision of people free to choose and to act according to their individual self-interest,"" he said.Dr Greenspan - who became chairman of the Federal Reserve for an unprecedented fifth term in June 2004 - will step down in January next year.""I am led to ponder to what extent the chancellor's renowned economic and financial skills are the result of exposure to the subliminal intellect-enhancing emanation in this area.""Dr Greenspan, 79, who has been in the UK to attend the G7 meeting in London, said the world could never repay the debt of gratitude it owed to Smith, whose genius he compared to that of Mozart.

US bank boss hails 'genius' Smith

US Federal Reserve chairman Alan Greenspan has given a speech at a Scottish church in honour of the pioneering economist, Adam Smith.

"
213,"However, the output index is being held back by recent interest rate rises, sterling's strength against the dollar and high oil prices, the group noted.""The UK is looking strong going into the general election, but businesses need to prepare themselves for a jolt ahead as the Bank of England reacts to growth and inflationary pressures,"" said Peter Hemington, partner at BDO Stoy Hayward.Economy 'strong' in election year

UK businesses are set to prosper during the next few months - but this could trigger more interest rate rises, according to a report.

Its BDO's output index - which predicts GDP movements a quarter in advance - remained at 100.8 for January, implying GDP growth at 2.9% in the second quarter of 2005.The only thing blighting business optimism this year will be uncertainties associated with the general election, BDO said.The rise is due, in part, to an increase in public spending and increased merger and acquisition activity.

Optimism is at its highest since 1997 and business will reap the benefits of a continuing rise in public spending, say researchers at BDO Stoy Hayward."
214,"Seen as particularly costly to implement, Section 404 obliges chief executives to take responsibility for the firm's internal controls by signing a compliance statement in the annual accounts.He revealed that his staff were already weighing up the merits of delaying the implementation of the Act's least popular measure - Section 404 - for foreign firms.SEC to rethink post-Enron rules

The US stock market watchdog's chairman has said he is willing to soften tough new US corporate governance rules to ease the burden on foreign firms.

It obliges all firms with US stock market listings to make declarations, which, critics say, will add substantially to the cost of preparing their annual accounts.

But European firms with secondary listings in New York have objected - arguing that the compliance costs outweigh the benefits of a dual listing.The SEC has already delayed implementation of this clause for smaller firms - including US ones - with market capitalisations below $700m (Â£374m).

Air China picked the London Stock Exchange for its secondary listing in its $1.07bn (Â£558m) stock market debut last month."
215,"In his new job as Renault chief executive, Mr Ghosn will devote 40% of his time to Renault, 40% to Nissan and the rest to the group's activities in North America and other key markets.

As chief operating officer, Toshiyuki Shiga will run Nissan on a daily basis, although Mr Ghosn, who masterminded its recovery, will remain chief executive.Dubbed 'le cost killer' for pushing through huge cost cuts in previous jobs, Mr Ghosn reduced Nissan's overheads by 20% and trimmed its workforce by about 200,000 after taking charge in 1999.Nissan names successor to Ghosn

Nissan has named a lifetime employee to run its operations after Carlos Ghosn, its highly successful boss, takes charge at Renault.

These actions helped Nissan turn a 684bn yen ($6.4bn) loss in 2000 into a 331bn yen ($2.7bn) profit the following year.However, he will be Nissan's most senior Japan-based executive and will be in charge of the firm's global sales and marketing.

Mr Ghosn is to become chairman and chief executive of Renault, which owns 44% of the Japanese carmaker, in April."
216,"It was sold in June 2004 to a consortium that included Viktor Pinchuk, son-in-law of former-President Kuchma, and Rinat Akhmetov, the country's richest man, for $800m (Â£424m) - despite other higher offers.

Ukraine may find it has a sympathetic ear in Brussels ""The EU has reiterated that we support (Ukraine's) fast accession to the WTO and if possible we would like that to happen some time during the year,"" said Claude Veron-Reville, a spokesman for EU trade commissioner Peter Mandelson.Ukraine trims privatisation check

Ukraine is to review ""dozens"" of state asset sales as the country's new administration tackles corruption.

Mr Yushchenko was careful not to turn his back on Russia, which borders the country to the east, saying it was important to maintain 'pragmatic' ties with Moscow.Mr Yushchenko recently defeated Moscow-backed presidential candidate and Prime Minister Viktor Yanukovych at the polls, and has made no secret of his wish to fight corruption and make Ukraine more transparent.

""We have trust in this business and want to defend it by law,"" he continued, adding that any review would focus on ""dozens of companies, not hundreds or thousands"".He said that while he understood that Ukraine was not ready for EU membership, the country needed to see progress on topics such as trade and visa requirements."
217,"Absa and Barclays talks continue

South Africa biggest retail bank Absa has said it is still in talks with UK bank Barclays over the sale of majority stake in the group.

However, the company warned that headline earnings growth would be trimmed by about four percentage points because of share options for a black economic empowerment transaction and a staff share incentive scheme.But the group said Barclays is still waiting for the approval of South Africa's banking and competition authorities to make a formal offer.""Discussions with Barclays are continuing, but shareholders are advised that no agreement has been reached as to any offer being made by Barclays to acquire a majority stake in Absa,"" Absa said in a statement.The South African group will release its results for the year to 31 March on 30 May.
Absa also announced that it expects to see earnings grow by 20-25% in its current financial year.

If Barclays buys a stake in Absa it will be one of the largest foreign investments in South Africa in recent years."
218,"On 14 March, one of these creditors - property investment fund Molsiris which owns the club's stadium - holds its AGM at which it will discuss the rescue plan.Rescue hope for Borussia Dortmund

Shares in struggling German football club Borussia Dortmund slipped on Monday despite the club agreeing a rescue plan with creditors on Friday.

The football club is hoping that all its creditors will agree to defer rent payments on its Westfalen stadium.The club, which has posted record losses and racked up debts, said last week that it was in ""a life-threatening profitability and financial situation"".Chief executive Gerd Niebaum stepped down last week and creditors have been pushing for a greater say in how the club is run.News of the deal had boosted shares in the club on Friday, but the stock slipped back 7% during Monday morning.

The club posted a record loss of 68m euros in the 12 months through June."
219,"Standard Life concern at LSE bid

Standard Life is the latest shareholder in Deutsche Boerse to express concern at the German stock market operator's plans to buy the London Stock Exchange.

In December, Deutsche Boerse, which also owns the derivatives market Eurex and the clearing firm Clearstream, put an informal offer of 530 pence per LSE share on the table.Reports say Standard Life, which owns a 1% stake in Deutsche Boerse, may seek a shareholder vote on the issue.It said Deutsche Boerse had to show why its planned Â£1.35bn ($2.5bn) offer for the LSE was good for shareholder value.And TCI which holds about 5%, has made a request for an extraordinary shareholders meeting to be held to vote on replacing the company's entire supervisory board.It has also demanded that shareholders be consulted about the proposed acquisition, and whether the operator of the Frankfurt stock exchange should return $500m (Â£266m) to shareholders instead.

Atticus Capital, holding 2% of Deutsche Boerse, wants it to buy back its own shares rather than buy the LSE."
220,"BP surges ahead on high oil price

Oil giant BP has announced a 26% rise in annual profits to $16.2bn (Â£8.7bn) on the back of record oil prices.

Last week, rival Shell reported an annual profit of $17.5bn - a record profit for a UK-listed company.Currently above $40 a barrel, he said: ""The price of oil will be well supported above $30 a barrel for the medium term.""Its profit rise for the year included profits of $3.65bn (Â£1.97bn) for the final three months of 2004 - up from $2.89bn a year ago but below its third quarter.

BP put production for the year at 3.997 billion barrels of oil, up 10% on 2003, but slightly lower than the four billion barrels it had initially aimed for.
Speaking on the BBC's Today programme on Tuesday, Lord Browne said the profits were not solely down to the high oil price alone.

""The profits are up more than the price of oil is up,"" he said."
221,"Oil companies get Russian setback

International oil and mining companies have reacted cautiously to Russia's decision to bar foreign firms from natural resource tenders in 2005.

Exxon, the world's largest oil company, has signed preliminary agreements to develop the Sakhalin 3 field.Russia recently wrested back control of a large chunk of its oil industry from stock-market listed company Yukos, a move that prompted calls of outrage from many investors.

""We regret the ministry has taken such a decision,"" said Ivan Kulakov, deputy chairman of Highland Gold - a mining firm that has the motto ""Bringing Russia's Gold to Market"".BP spent $7.5bn to create Russian-registered oil company TNK-BP, and has a partnership to develop the Sakhalin 5 petroleum field with state-owned Rosneft.US oil giant Exxon said it did not plan to take part in a new tender on a project for which it had previously signed a preliminary agreement.The foreign ownership issue will be dealt with according to Russia's competition law, natural resources minister Yuri Trutnev was quoted as saying by the Interfax news agency."
222,"Gaming firm to sell UK dog tracks

Six UK greyhound tracks have been put up for sale by gaming group Wembley as part of a move which will lead to the break-up of the group.

US gaming consortium BLB will pay $339m (Â£182.5m) for the US unit, although the deal is subject to certain conditions.The sale of the US gaming unit will leave Wembley with its UK business.""Whilst the completion of the sale of the US Gaming Division remains subject to a number of conditions, we believe this development is a positive step towards the maximisation of value for shareholders,"" said Wembley chairman Claes Hultman.Wembley announced the planned sale as it revealed it was to offload its US gaming division to BLB Investors.Wembley sold the English national football stadium in 1999 to concentrate on its gaming operations.
BLB's purchase of the US unit is subject to the agreement of a revenue-sharing deal being struck with Rhode Island authorities."
223,"""Any board has a responsibility to consider a bona fide offer proposal,"" the club said in its statement.Earlier this month, Mr Glazer presented the board with detailed proposals on an offer to buy the football club.In a statement, the club said it would allow Mr Glazer ""limited due diligence"" to give him the opportunity to take the proposal on to a formal bid.A group of five MPs are calling on the Department of Trade and Industry to block any takeover of the club by the US football magnate on public interest grounds.The Commons motion says ""any takeover designed to transform the club into a private company would be against the interests of those supporters and football"".""The board continues to believe that Mr Glazer's business plan assumptions are aggressive,"" the statement said, ""and the direct and indirect financial strain on the business could be damaging.""Rival local club Manchester City has pleaded with visiting fans not to protest inside its ground when the two teams play a televised match on Sunday.

"
224,"Sales in what is traditionally a strong month rose by 0.5% on a like-for-like basis, compared with a year earlier.But clothing and footwear sales were said to be generally better than December, while department stores also had a good month.

The previous BRC survey found Christmas 2004 was the worst for 10 years for retailers.""Even extending some promotions and discounts and the pay-day boost later in the month could not tempt customers.""Higher interest rates and uncertainty over the housing market continue to take their toll on the retail sector, the BRC said.Consumers remain cautious over buying big-ticket items like furniture, said BRC director general Kevin Hawkins.""Following a relatively strong New Year's bank holiday, trading then took a downward turn,"" said Mr Hawkins."
225,"McDonald's to sponsor MTV show

McDonald's, the world's largest restaurant chain, is to sponsor a programme on music channel MTV as part of its latest youth market promotion.

MTV, which played a key role in the emergence of the music video, is to show Advance Warning on all 25 of its channels across the world.In the US, food group Kraft is among firms that already have cut back on promoting sugar and fattening products to the young.The European Union has called on the food industry to reduce the number of adverts aimed at young children, warning that legislation would be introduced.McDonald's has targeted the youth market in the past with its advertisements, signing up stars like jelly-legged dancer Justin Timberlake and all-woman singing group Destiny's Child.
The show Advance Warning highlights new talent and MTV reckons it will give McDonald's access to nearly 400 million homes in 162 countries.McDonalds has also been taking steps to improve its junk food reputation, revamping its menu and providing clients with health-related products such as pedometers."
226,"""A commitment to our public services and manufacturing sector ensures that we can continue to compete on a global level and deliver the frontline services that this country needs.""The submission also calls for decent wages and training for people working in the manufacturing sector.
Call to save manufacturing jobs

The Trades Union Congress (TUC) is calling on the government to stem job losses in manufacturing firms by reviewing the help it gives companies.

The 36-page submission also urges the government to examine support other European countries provide to industry.""

""Greater investment in childcare strategies and the people delivering that childcare will increases the options available to working parents,"" he said.TUC General Secretary Brendan Barber called for ""a commitment to policies that will make a real difference to the lives of working people.The TUC said in its submission before the Budget that action is needed because of 105,000 jobs lost from the sector over the last year."
227,"In the public sector, more than one in ten of the state-owned People's Bank's customers in the south of Sri Lanka were affected, a bank spokesman told Reuters.The association estimates that the private banking sector has 25bn rupees ($250m; Â£135m) of loans outstanding in the disaster zone.The combination means a revenue shortfall during 2005, SLBA chairman - and Commercial Bank managing director - AL Gooneratne told a news conference.According to its estimate, as much as 13.6% of the loans made by private banks to clients in the disaster zone has been written off or damaged.Tsunami 'to hit Sri Lanka banks'

Sri Lanka's banks face hard times following December's tsunami disaster, officials have warned.

He estimated the bank's loss at 3bn rupees.
On the other, most are extending cheap loans for rebuilding and recovery, as well as giving their clients more time to repay existing borrowing."
228,"The board of the football club is expected to meet early this week to discuss the latest proposal, which values the club at Â£800m ($1.5bn).David Cummings, head of UK equities for Standard Life Investments, said he believed a ""well funded"" 300p a share bid would be enough for Mr Glazer to take control of the club.

A proposal was received by David Gill, United's chief executive, at the end of last week, pitched at about 300p a share.The US tycoon, who has been wooing the club for the last 12 months, has approached the United board with ""detailed proposals"", it has confirmed.

Manchester United revealed on Sunday that it had received a detailed proposal from Mr Glazer, which looks set to receive more serious scrutiny.But a senior source at the club told the BBC: ""This time it's different.""For his proposal to succeed, he needs the support of United's largest shareholders, the Irish horseracing tycoons JP McManus and John Magnier."
229,"Yukos drops banks from court bid

Russian oil company Yukos has dropped the threat of legal action against five banks it had accused of involvement in the sale of its key Yugansk unit.

The firm, whose finance chief is now based in the US, filed for bankruptcy in Houston, Texas, and sought a court injunction against the sale.But Deutsche Bank has suggested Yukos artificially manufactured a legal case to stop the sale of its main asset.A hearing scheduled for February 16 and 17 will rule on whether the US court has jurisdiction in the case.
However, Yukos still has an outstanding complaint against Deutsche Bank, which it alleges to be the leader of a consortium that was behind a bid for Yugansk by state gas monopoly Gazprom.Yukos says the sale was illegal and is pursuing damages in a US court.Its lawyers now accept ABN Amro, BNP Paribas, Calyon, JP Morgan Chase Bank, and Dresdner Kleinwort Wasserstein were not involved in the sale financing."
230,"Venezuela reviews foreign deals

Venezuela is to review all foreign investment in its mining industries in an effort to strengthen its indigenous industrial output.

Announcing the review of raw material production, minister Victor Alvarez said the government would seek to transfer technology, training capability and content from projects with foreign partners.However, the government insisted that it needed to develop its own industrial infrastructure in order to create new jobs and lessen its reliance on foreign partners.The review will cover production of gold, aluminium and iron ore although it excludes the country's oil sector.The left-wing president is conducting a controversial review of land ownership in the country while also seeking to create a state-run telecoms firm to compete with foreign-owned businesses.

""

Venezuela has previously assured foreign companies with operations in the mineral rich country that it respects existing contracts.President Hugo Chavez has ordered all existing contracts with foreign firms to be examined to see if they provide maximum benefits to the country."
231,"The world's biggest insurance broker Marsh & McLennan said last week it would pay $850m to settle charges, raised by New York Attorney General Eliot Spitzer in October, that it sought to rig bids in conjunction with insurers.Lloyd's of London head chides FSA

The head of Lloyd's of London, the insurance market, has criticised Britain's financial watchdog, the Financial Services Authority (FSA).

The FSA took over regulation of the general insurance sector in January, but it sidestepped calls to require brokers to disclose the commissions they earn from insurers to their clients.The call came in a speech on improving the London insurance market.

""The FSA should change, and change now"" said Mr Prettejohn, who wants it to move from ""disclosure on request"" to mandatory disclosure.All of the insurance business written in the Lloyd's market is placed via brokers.
The probe centred around so-called contingent commissions, whereby brokers were rewarded according to how much business they brought to an insurer, an arrangement that did not always benefit brokers' customers."
232,"Bat spit drug firm goes to market

A German firm whose main product is derived from the saliva of the vampire bat is looking to raise more than 70m euros ($91m; Â£49m) on the stock market.

The firm, Paion, said that it hoped to sell 5 million shares - a third of the firm - for 11-14 euros a share.Its main drug, desmoteplase, is based on a protein in the bat's saliva.The protein stops blood from clotting - which helps the bat to drink from its victims, but could also be used to help stroke sufferers.The money raised will be spent largely on developing the company's other drugs, since desmoteplase has already been licensed to one manufacturer, Forest Laboratories.
If the final price is at the top of the range, the company could be valued at as much as 200m euros.The company's shares go on sale later this week, and are scheduled to start trading on the Frankfurt Stock Exchange on 10 February."
233,"""Vodafone is going to need to put a lot of money into Japan if it wants to rebuild the business,"" Tetsuro Tsusaka, a telecoms analyst with Deutsche Bank, told Reuters.While it has more than 15 million customers in Japan, Vodafone has found it difficult to satisfy Japan's technologically demanding mobile users.Mr Morrow will succeed Shiro Tsuda as president of Vodafone KK, Japan's number three mobile operator, in April.Mr Tsuda, who will become chairman, was appointed president only two months ago but the business has struggled since then, losing customers in January.""I do not know if it will be worth it for them to spend that kind of money just for Japan.It suffered a net loss of more than 58,000 customers in January, its second monthly reverse in the last year.Vodafone appoints new Japan boss

Vodafone has drafted in its UK chief executive William Morrow to take charge of its troubled Japanese operation.

"
234,"""Even people in social class V [unskilled manual workers] who are widely likely to have the lowest life expectancy can still expect to live 16 years after state pension age,"" he said.But if measured at age 65 instead, the PPI said, a manual worker will live to 81 years and a professional worker to 86 years - a gap of just five years.The PPI's estimate is higher because it excludes people who have died before they reach 65 years of age and also takes into account ongoing improvements in life expectancy.

Life expectancy at birth is 71 years for a manual worker and 79 years for a professional - a gap of eight years.The government has ruled out raising the state pension age, because it says it would penalise lower-skilled workers who generally have lower life expectancies.Pension hitch for long-living men

Male life expectancy is much higher than originally estimated, leading pension researchers have said.

Researchers have not updated life expectancy projections for women, who on average live longer than men.
"
235,"The introduction of chip and pin cards aimed to cut down on credit card fraud in stores by asking shoppers to verify their identity with a confidential personal pin number, instead of a signature.Retail Decisions chief executive Carl Clump told the BBC that there was ""no doubt"" that chip and pin would ""reduce card fraud in the card-present environment"".Nearly two thirds - 65% - of the 1,000 people interviewed said they had used chip and pin to make payments.Card fraudsters 'targeting web'

New safeguards on credit and debit card payments in shops has led fraudsters to focus on internet and phone payments, an anti-fraud agency has said.

Altogether, card scams on UK-issued cards totalled Â£402.4m in 2003.However, only 34% said they had received replacement cards with the necessary 'chip' technology from all their card providers.Retail Decisions' survey on the implementation of chip and pin found that shoppers had adapted easily to the new system, but that banks' performance in distributing the new cards had been patchy, at best."
236,"Britannia has also stopped making payments to members if they are worth less than Â£5.

To qualify for the profit share, members must have either a mortgage, or an investment account other than a deposit account.Britannia members' Â£42m windfall

More than 800,000 Britannia Building Society members are to receive a profit share worth on average Â£52 each.

The profit share scheme was introduced in 1997 and has paid out more than Â£370m. Britannia will unveil its results on Wednesday.
Depending on how much they borrow or invest, members earn ""reward"" points which entitle them to a share of the society's profits.To qualify for this year's payment, customers must have been members for at least two years on 31 December 2004.Members of the UK's second largest building society will share Â£42m, with 100,000 receiving a windfall of more than Â£100.Last year, Britannia members shared Â£42m, but the average payment was only Â£38.

"
237,"A final salary scheme, also known as a defined benefit scheme, promises to pay a pension related to the salary the scheme member is earning when they retire.

Under money purchase schemes, employees pay into a pension fund which is used to buy an annuity - a policy which pays out an income until death - on retirement.

The rising cost of maintaining such schemes has led many employers to replace final salary schemes with money purchase, or defined contribution, schemes.A survey of 280 schemes by Incomes Data Services' (IDS) said employer contributions had increased from Â£5.5bn to Â£8.2bn a year, a rise of 49.7%.Firms pump billions into pensions

Employers have spent billions of pounds propping up their final salary pensions over the past year, research suggests.

""We have warned before that the widespread closure of final salary schemes to new entrants is just the beginning of a much bigger movement away from paternalistic provision,"" said Ms Sudell.Many firms are struggling to keep this type of scheme open, because of rising costs and increased liabilities."
238,"Tim Crawford, Group Economist at Halifax, said: ""The value of the private housing stock continues to grow and the family home remains, by a large margin, the most valuable asset of the majority of households in the UK.""UK homes hit Â£3.3 trillion total

The value of the UK's housing stock reached the Â£3.3 trillion mark in 2004 - triple the value 10 years earlier, a report indicates.

The core retail price index rose by just 28% in the same period, underlining how effective an investment in housing has been for most people during the past decade.Research from Halifax, the country's biggest mortgage lender, suggests the value of private housing stock is continuing to rise steadily.Halifax's own monthly figures on house sales - issued on Thursday - suggest the average price of a British property now stands at Â£163,748 after a 0.8% rise in January.More than a third of the UK's private housing assets - representing more than a trillion pounds in value - are concentrated in London and the South East, the Halifax's figures indicate.Housing experts are split on prospects for the market, with some saying price growth will slow but not fall, while others predict a sharp drop in values.
"
239,"However, the output index is being held back by recent interest rate rises, sterling's strength against the dollar and high oil prices, the group noted.""The UK is looking strong going into the general election, but businesses need to prepare themselves for a jolt ahead as the Bank of England reacts to growth and inflationary pressures,"" said Peter Hemington, partner at BDO Stoy Hayward.Economy 'strong' in election year

UK businesses are set to prosper during the next few months - but this could trigger more interest rate rises, according to a report.

Its BDO's output index - which predicts GDP movements a quarter in advance - remained at 100.8 for January, implying GDP growth at 2.9% in the second quarter of 2005.The only thing blighting business optimism this year will be uncertainties associated with the general election, BDO said.The rise is due, in part, to an increase in public spending and increased merger and acquisition activity.

Optimism is at its highest since 1997 and business will reap the benefits of a continuing rise in public spending, say researchers at BDO Stoy Hayward."
240,"At a dinner on Friday night, former South African president Nelson Mandela backed Mr Brown's plan when he urged the finance chiefs to write-off African debt and provide an extra $50bn (Â£26.69bn) a year in aid for the next decade.G7 backs Africa debt relief plan

G7 finance ministers have backed plans to write off up to 100% of the debts of some of the world's poorest countries.

Mr Brown said it was a major breakthrough for the international organisations to offer up to 100% multilateral debt relief - ""the vast bulk"" of money owed by the poorest countries.

UK chancellor Gordon Brown said the London meeting of the world's seven richest nations would be remembered as ""the 100% debt relief summit"".If rich countries are going to keep their promises to tackle obscene poverty they need deliver - and deliver quickly.""Earlier, he told BBC Radio 4's Today programme the US had increased support for Africa in the past four years from $1.1bn per year to $4.6bn per year.""We could be at the beginning of the final stage of the process where the debts that were owed by the poorest countries, built up over 20 or 30 years, debts that are simply unpayable in the real world, are finally taken care of,"" he said."
241,"At the club's annual general meeting in November, Mr Glazer took revenge by using his hefty stake in the club to oust three directors from the board.That would have left the club with debt levels which were deemed ""not... in the best interests of the company"" by Manchester United's board when they rejected his approach last year.""A lot of people want the club's interest to be with people who have grown up with the club and got its interests at heart,"" Rio Ferdinand told BBC Radio Five Live.Q&A: Malcolm Glazer and Man Utd

The battle for control of Manchester United has taken another turn after the club confirmed it had received a fresh takeover approach from US business tycoon Malcolm Glazer.

""If that's the case then Mr Glazer might well secure their support - if he does, this bid could well go ahead.Supporters' group Shareholders United - which has proved adept in rallying opposition to Mr Glazer's campaign - said it would fight any move.No formal offer has been made yet, but Manchester United have confirmed they have received a ""detailed proposal"" from the US entrepreneur which could lead to a bid."
242,"Making your office work for you

Our mission to brighten up your working lives continues - and this time, we're taking a long hard look at your offices.

The walls should be dry lined with a single skin of plasterboard laid over rockwool slab which will allow good wall insulation and the power and lighting circuits to be concealed, and the walls should be painted in a light colour.Understanding your work personality allows you to work in terms of your own style.In order for a virtual office to succeed, keeping the boundary between work and home life is essential.Referring to the space as work will give those around you a clear message that this is professional space.In order to provide this the owner will need to have an electrical engineer calculate the potential heating, power and lighting load to make sure the mains supply and distribution capacity are adequate.Prior to any interior work being undertaken it is essential to ensure that the roof and walls are made water-and-weather-tight, and the structure is checked for stability."
243,"And its owner, P&O Cruises - now part of the huge US Carnival Corporation - was looking at a significant slice chopped off this year's profits and a potential PR fiasco.And with Carnival remaining the market leader, it looks set to keep selling the tickets - no matter what happens to the ill-fated Aurora in the future.
The ship had another slice of bad luck to add to its history of health scares and technical trouble.Given the expense of building, outfitting and running a cruise ship, ""slowing supply growth"" is a certainty, said David Anders at Merrill Lynch on Thursday.""It was clearly a source of uncertainty for the company - it was a long cruise, after all.The hundreds of disappointed passengers who have now had to give up the opportunity to spend the next three months on the Aurora have got both a refund and a credit for another cruise.""

Despite its string of bad luck, he pointed out, Aurora is just one vessel in a large Carnival fleet, the UK's P&O Princess group having been merged into the much larger US firm in 2003."
244,"This upward trend will force increased borrowing by the federal government, putting upward pressure on interest rates faced by consumers and business.One thing is certain - destroying the budget in order to save it is not going to equip the US economy and government for the challenges of this new century.
Savings in health care spending that do not come at the expense of health can only be achieved with wholesale reform of the entire system, public and private.Reducing domestic spending, or eliminating ""waste, fraud and abuse"" is toothless because this slice of the budget is too small to solve the problem.By definition, the deficit means too little revenue and too much spending - but this neutral description doesn't adequately capture the current situation.The 'ticking budget' facing the US

The budget proposals laid out by the administration of US President George W Bush are highly controversial.Brute force budget cuts or spending caps would ill-serve the nation's elderly and indigent.

"
245,"Ebbers 'aware' of WorldCom fraud

Former WorldCom boss Bernie Ebbers was directly involved in the $11bn financial fraud at the firm, his closest associate has told a US court.

Prosecutors have alleged that Mr Ebbers, 63, directed Mr Sullivan to hide the true state of the company's finances by providing false information to the firm's accountants.Mr Sullivan, 42, pleaded guilty to fraud last year and agreed to assist the government with its case against Mr Ebbers.

Giving evidence in the criminal trial of Mr Ebbers, ex-finance chief Scott Sullivan implicated his colleague in the accounting scandal at the firm.""He would talk about that there were more coffee filters than coffee bags and that means employees are taking coffee home,"" he said.Senior WorldCom executives are accused of orchestrating a huge fraud at the former telecoms company in which they exaggerated revenues and hid the cost of expenses.Mr Sullivan said his former boss knew more about accounting matters than many chief financial officers and described him as ""detail-oriented"".

"
246,"Renault boss hails 'great year'

Strong sales outside western Europe helped Renault boost its profits by more than 40% in 2004 although the firm warned of lower margins this year.

Chairman Louis Schweitzer said 2004 had been a ""great year"" for the firm.

Japanese carmaker Nissan - in which Renault owns a 44% stake - contributed 1.7bn euros in net income over the year.Renault sold more than 2.4 million vehicles in 2004, an increase of 4% on the previous year.""In a sluggish market and an environment impacted by the rise in raw material prices, Renault intends to continue to grow its global sales,"" the company said in a statement.
The firm will benefit from the launch of a new Clio model in the coming year and the roll-out of the Logan in many markets.The firm said strong demand outside western Europe and the good performance of its Megane range lifted its results."
247,"Survey confirms property slowdown

Government figures have confirmed a widely reported slowdown of the UK's housing market in late 2004.

After registering falls at the back end of 2004, Halifax said house prices rose by 0.8% in January and Nationwide reported a rise of 0.4% in the first month of the year.In the capital, the volume of sales fell by 23% from 36,185 in 2003 to 28,041 for the same period in 2004.House prices were 11.8% higher on the year in the last quarter of 2004, down from 16.3% in the July-to-September quarter, the Land Registry said.The biggest annual gains were made in Wales, where house prices were up by 23% in the fourth quarter.The government figures are the first official confirmation of falls in the market at the end of 2004.Although the figures point to a slowdown in the market, the most recent surveys from Nationwide and Halifax have indicated the market may be undergoing a revival."
