,LexRank_algorithm summary
246,"Renault boss hails 'great year'

Strong sales outside western Europe helped Renault boost its profits by more than 40% in 2004 although the firm warned of lower margins this year.

In total, sales outside western Europe - Renault's core market - rose 16.5%.Chairman Louis Schweitzer said 2004 had been a ""great year"" for the firm.

Growth came mainly from outside western Europe, with particularly strong sales in Turkey, Russia and North Africa.

Nissan chairman Carlos Ghosn is to succeed Mr Schweitzer at the head of Renault later this year.

Japanese carmaker Nissan - in which Renault owns a 44% stake - contributed 1.7bn euros in net income over the year.France's second largest carmaker enjoyed a healthy 43% rise in net profits to 2.4bn euros ($3.1bn; Â£2.9bn) as sales rose 8% to 40.7bn euros."
247,"House prices were 11.8% higher on the year in the last quarter of 2004, down from 16.3% in the July-to-September quarter, the Land Registry said.The government figures are the first official confirmation of falls in the market at the end of 2004.House prices rose the slowest in Greater London, being up by 6%.In the capital, the volume of sales fell by 23% from 36,185 in 2003 to 28,041 for the same period in 2004.The biggest annual gains were made in Wales, where house prices were up by 23% in the fourth quarter.After registering falls at the back end of 2004, Halifax said house prices rose by 0.8% in January and Nationwide reported a rise of 0.4% in the first month of the year.The volume of sales between October and December dropped by nearly a quarter from the same period in 2003."
248,"Mr Bush has promised to halve the US's massive budget deficit within five years.Yet Mr Bush's proposed spending of $3bn on that project is well below his initial promise of $5bn.

The Bush administration will instead continue to fill the reserve by taking oil - rather than cash - from energy companies that drill under federal leases.

But the budget is still the tightest yet under Mr Bush's presidency.""In order to sustain our economic expansion, we must continue pro-growth policies and enforce even greater spending restraint across federal government,"" Mr Bush said in his budget message to Congress.Some experts believe this could require borrowing of up to $4.5 trillion over a 20-year period.The deficit, partly the result of massive tax cuts early in Mr Bush's presidency, has been a key factor in pushing the US dollar lower."
249,"But Western firms such as Dell and Hewlett-Packard are also mounting a more solid fight for market share in China, and Lenovo's sales were down 3.7% by revenue to HK$6.31bn.

Lenovo's profit for the three months to December was HK$327m (US$42m; Â£22m), less than 1% up on the year before.The firm is in the international spotlight after last year signing a deal to buy the PC division of personal computer pioneer IBM.Profits stall at China's Lenovo

Profits at Chinese computer firm Lenovo have stood still amid slowing demand at home and stiffening competition.

Chinese PC sales have risen by a fifth in each of the past two years, but are now growing more slowly.In any case, margins in PC market are now wafer thin, and profits have been hard to come by for most vendors except direct-sales giant Dell.There have been rumours that the deal could be in trouble because US government agencies fear it could offer China opportunities for industrial espionage."
250,"Shares in MCI, which changed its name from Worldcom when it emerged from bankruptcy, were up 2.4% at $20.15.Buying MCI would give Qwest, a local phone service provider, access to MCI's global network and business-based subscribers.MCI shares climb on takeover bid

Shares in US phone company MCI have risen on speculation that it is in takeover talks.

Press reports suggest that Qwest and MCI may reach an agreement as early as next week, although rival bids may muddy the waters.Other firms have also expressed an interest in MCI, the second-largest US long-distance phone firm, and may now table rival bids, analysts said.A merger between MCI and Qwest would be the fifth billion-dollar telecoms deal since October.It hit the headlines as Worldcom in 2002 after admitting it illegally booked expenses and inflated profits."
251,"BT offers equal access to rivals

BT has moved to pre-empt a possible break-up of its business by offering to cut wholesale broadband prices and open its network to rivals.

""Central to the proposals are plans by BT to offer operators lower wholesale prices, faster broadband services and transparent, highly-regulated access to BT's local network,"" the former monopoly said in a statement.The move comes after telecom regulator Ofcom said in November that the firm must offer competitors ""real equality of access to its phone lines"".Internet service provider (ISP) Plus.net also backed the proposals saying ""we will be entirely happy if Ofcom accepts them"".Ofcom is expected to spend the next few weeks examining the proposals before making an announcement within the next few months.
The company also unveiled plans to cut the wholesale prices of its most popular broadband product by about 8% from April in areas of high customer demand.

More than 100 telecom firms, consumer groups and other interested parties are expected to make submissions to the regulator during this consultation phase."
252,"Jobs growth still slow in the US

The US created fewer jobs than expected in January, but a fall in jobseekers pushed the unemployment rate to its lowest level in three years.

The job gains mean that President Bush can celebrate - albeit by a very fine margin - a net growth in jobs in the US economy in his first term in office.According to Labor Department figures, US firms added only 146,000 jobs in January.The Labor Department also said it had revised down the jobs gains in December 2004, from 157,000 to 133,000.

""
""That means there are a limited number of new opportunities for workers.""It suggests that employment is continuing to expand at a moderate pace,"" said Rick Egelton, deputy chief economist at BMO Financial Group."
253,"Video games are ""big business"", the paper quoted Mr Chernin as saying.News Corp eyes video games market

News Corp, the media company controlled by Australian billionaire Rupert Murdoch, is eyeing a move into the video games market.

According to the Financial Times, chief operating officer Peter Chernin said that News Corp is ""kicking the tyres of pretty much all video games companies"".The success of products such as Sony's Playstation, Microsoft's X-Box and Nintendo's Game Cube have boosted demand for video games.And with their price tags reflecting the heavy investment by development companies, video games are proving almost as profitable as they are fun.

Analysts have said that industry mergers are likely in the future.
The days of arcade classics such as Space Invaders, Pac-Man and Donkey Kong are long gone."
254,"Call to overhaul UK state pension

The UK pension system has been branded inadequate and too complex by a leading retirement think-tank.

According to the Pensions Commission's report 12 million working people are not saving enough for their retirement.The think tank's proposals were made in response to the recent publication of the Pensions Commission's initial report into UK retirement savings.The report added that a combination of higher taxes, higher savings and/or a higher average retirement age was needed to solve the UK pension crisis.
As a result, living standards could fall for the next generation of UK pensioners.The PPI added that once the state system was reformed the government should look at options to overhaul private and workplace pensions.The Pensions Policy Institute (PPI) said replacing the state pension with a ""citizen's pension"" would help tackle inequality and complexity."
255,"Singapore growth at 8.1% in 2004

Singapore's economy grew by 8.1% in 2004, its best performance since 2000, figures from the trade ministry show.

""I am surprised at the weak fourth quarter number.However, a slower-than-expected fourth quarter points to more modest growth for the trade-driven economy in 2005 as global technology demand falls back.The advance, the second-fastest in Asia after China, was led by growth of 13.1% in the key manufacturing sector.The main drag came from electronics,"" said Lian Chia Liang, economist at JP Morgan Chase.Slowdowns in the US and China could hit electronics exports, while the tsunami disaster may effect the service sector.

That was up from the third quarter, when it fell 3.0%, but was well below analyst forecasts."
256,"""

The Turkish economy teetered on the brink of collapse in 2001 when the lira plunged in value and two million people lost their jobs.

Turkey knocks six zeros off lira

Turkey is to relaunch its currency on Saturday, knocking six zeros off the lira in the hope of boosting trade and powering its growing economy.

The government hopes the change will be seen as a promise of growing economic stability as Turkey embarks on the long process of trying to join the European Union.

Inflation fell below 10% earlier this year for the first time in decades while exports are up 30% this year.""If a person has 10 billion lira in investments this will suddenly decrease,"" shop owner Hayriye Evren, told Associated Press.The currency - officially to be known as the new lira - will be launched at midnight on 1 January.""The new lira is also the symbol of the stable economy that we dreamed of for long years."
257,"The problem facing South Korea is that many consumers are reeling from the effects of a credit bubble that only recently burst.""Given the economic spill over and employment effect in the construction sector, a sharp downturn in the construction industry could have other adverse effects,"" the ministry said.

""The focus will be on job creation and economic recovery, given that unfavourable domestic and global conditions are likely to dog the Korean economy in 2005,"" the ministry said.
In 2004, growth will be between 4.7% and 4.8%, the ministry said.As part of its spending plans, the government said it will ask firms to ""roll over mortgage loans that come due in the first half of 2005"" .It also will look at real estate tax system.It also pledged to look at ways of helping families on low incomes.

"
258,"Latin America sees strong growth

Latin America's economy grew by 5.5% in 2004, its best performance since 1980, while exports registered their best performance in two decades.

Strong recovery in some countries, such as Venezuela and Uruguay, boosted the overall performance of the region.Doubts about the strength of the US recovery and overheating of the Chinese economy do however pose risks for 2005.ECLAC also said that the six largest Latin American economies (Argentina, Brazil, Chile, Colombia, Mexico and Venezuela) grew by more than 3% for only the second time in 20 years.Higher oil prices also helped boost exports, as Mexico and Venezuela are important oil exporters.In fact, Latin American exports to China grew 34%, to $14bn.The United Nations' Economic Commission for Latin America and the Caribbean said the region grew by 5.5% this year."
259,"In the Maldives the cost of reconstruction could wipe out economic growth, according to a government spokesman.Asia shares defy post-quake gloom

Indonesian, Indian and Hong Kong stock markets reached record highs.

He estimated the economic cost of the disaster at hundreds of millions of dollars.Thailand may lose 30bn baht (Â£398m; $768m) in earnings from tourism over the next three months, according to tourism minister Sontaya Kunplome.

Expectations of strong corporate earnings in 2005 drove the Indonesian stock exchange in Jakarta to a record high on Wednesday.Sri Lanka's stock market has fallen about 5% since the weekend, but it is still 40% higher than at the start of 2004.

In Hong Kong, the Hang Seng index may be benefiting in part from the potential for its listed property companies to gain from rebuilding contracts in the tsunami-affected regions of South East Asia."
260,"Second, stock markets do not trade the sort of companies likely to have been damaged.Stock markets in Indonesia and India have hit all-time highs this week; even in Sri Lanka, more comprehensively affected, the main index has lost only 5% since the waves hit.""Although it is commonly assumed on the basis of anecdotal evidence that disasters result in business failures and bankruptcies on a large scale, our research indicates that most businesses, even those that are especially hard-hit, do indeed recover,"" the authors concluded.

The MSCI World share index, a measure of global stock market performance, hit its highest level this week since early 2001; the BBC Global 30 has risen by 3% in the past week.In Indonesia, shares in state construction companies Adhi Karya and Semen Gresik have jumped sharply this week.

And where insurance certainly is in place - in, for example, the many tourist complexes affected - the costs will be borne in far-away corners of the global reinsurance market, rather than landing locally.

Even the costliest natural disaster is rendered minuscule by the global capital market - currently $30 trillion and rising."
261,"Investors pointed out, however, that declines probably would be industry specific, with the travel and insurance firms hit hardest.Asian quake hits European shares

Shares in Europe's leading reinsurers and travel firms have fallen as the scale of the damage wrought by tsunamis across south Asia has become apparent.

Shares in Munich Re and Swiss Re - the world's two biggest reinsurers - both fell 1.7% as the market speculated about the cost of rebuilding in Asia.The Thai baht lost 0.3% against the US currency, trading at 39.10.""

The unfolding scale of the disaster in south Asia had little immediate impact on US shares, however.But the disaster has little impact on stock markets in the US and Asia.

Currencies including the Thai baht and Indonesian rupiah weakened as analysts warned that economic growth may slow."
262,"Split-caps pay Â£194m compensation

Investors who lost money following the split-capital investment trust scandal are to receive Â£194m compensation, the UK's financial watchdog has announced.

Splits were marketed as a low-risk way to benefit from rising share prices.Eighteen investment firms involved in the sale of the investments agreed the compensation package with the Financial Services Authority (FSA).Further details of how investors will be able to claim their share of the compensation package will be announced in the new year.Investors in these two firms may now have to take any compensation claim to the Financial Ombudsman Service or the courts.
Agreeing to pay compensation did not mean that the eighteen firms involved were admitting any guilt, the FSA added.""This should save investors from having to take their case to the Financial Ombudsman Service, something, no doubt, that will be very welcome,"" Rob McIvor, FSA spokesman, told BBC News."
263,"French suitor holds LSE meeting

European stock market Euronext has met with the London Stock Exchange (LSE) amid speculation that it may be ready to launch a cash bid.

Meanwhile, LSE shareholders fear that Deutsche Boerse's control over its Clearstream unit - the clearing house that processes securities transactions - would create a monopoly situation.Unions for Deutsche Boerse staff in Frankfurt has reportedly expressed fears that up to 300 jobs would be moved to London if the takeover is successful.Commentators believe Deutsche Boerse, which has now formally asked German authorities to approve its plan to buy the LSE, may offer to sell Clearstream to gain shareholder approval.Deutsche Boerse previously offered Â£1.3bn, which was rejected by the LSE, while Euronext is rumoured to have facilities in place to fund a Â£1.4bn cash bid.There was speculation Euronext would use Friday's meeting as an opportunity to take advantage of growing disquiet over Deutsche Boerse's own plans for dominance over the London market.Euronext, so far, has given little away as to what sweeteners it will offer the LSE - Europe's biggest equity market - into a deal.
"
264,"Troubled Marsh under SEC scrutiny

The US stock market regulator is investigating troubled insurance broker Marsh & McLennan's shareholder transactions, the firm has said.

Marsh's new chief executive, Michael Cherkasky, is trying to negotiate a settlement with Mr Spitzer.Prosecutors allege that Marsh - the world's biggest insurance broker - and other US insurance firms may have fixed bids for corporate cover.Marsh is also the focus of an inquiry the New York attorney-general into whether insurers rigged the market.Doubts also exist over how much the company may have to pay regulators and lawyers to put the scandal behind.
The uncertainty unleashed by the scandal has prompted three credit rating agencies - Standard & Poor's, Moody's and Fitch - to downgrade Marsh in recent weeks.Since that inquiry was launched in October, Marsh has replaced its chief executive and held a boardroom shake-out to meet criticism by lessening the number of company executives on the board."
265,"The report highlights the case of Sibneft, a Russian oil company that came close to merging with Yukos last year.""An increase in tax enforcement can increase the amount [of dividends and other income] outside shareholders will receive, even accounting for increased levels of taxation,"" the authors say.

For a start, the model assumes that the various parties have clearly-defined motivation: companies want to maximise profit, governments want to maximise tax revenue.Since then, the Russian stock market has more than trebled in value, a rise the authors attribute at least in part to the newly tough approach.But it argues that more rigorous tax policing has benefited all Russian firms, even targets of the tax police.On the other hand, increasing the rigour with which taxes are collected encourages companies to become more transparent, forcing them to be able to demonstrate their financial position far more accurately.And the authors' definition of tax enforcement seems unrealistically Western."
266,"Nasdaq planning $100m share sale

The owner of the technology-dominated Nasdaq stock index plans to sell shares to the public and list itself on the market it operates.

Nasdaq will not make money from the sale, only investors who bought shares in the private placings, the filing documents said.The Nasdaq is made up shares in technology firms and other companies with high growth potential.A recovery in the fortunes of tech giants such as Intel, and dot.com survivors such as Amazon has helped revive its fortunes.
It was the most potent symbol of the 1990s internet and telecoms boom, nose-diving after the bubble burst.Some observers see this as another step closer to a full public listing.The company first sold shares in private placements during 2000 and 2001."
267,"As the Child Trust Fund will not be in force in time for Christmas, relatives could invest their gifts in a higher rate children's deposit account, and use this as a feeder fund.

Where both parents and other relatives are saving on behalf of a child, consideration should be given to opening separate accounts - one for parents' gifts and one for gifts from other relatives.Only Â£100 of interest (per parent) can be tax-free.Parents and relatives will be able to top up the fund with up to Â£1,200 a year, which will grow free of income and capital gains tax.Therefore, it may be preferable for parents to contribute to the Child Trust Fund which is tax free, with any gifts from relatives that take the total above the annual Â£1,200 limit being directed to a deposit account.

The tax rules are different for parents who save on behalf of a child.If the account holds money gifted by friends and relatives - but not parents - any interest earned from the savings account may be set against the allowance."
268,"Air China in $1bn London listing

China's national airline is to make its overseas stock market debut with a dual listing in London and Hong Kong, the London Stock Exchange (LSE) has said.

Merrill Lynch are sole bookrunners for Air China's flotation, which will take the form of a share placing with institutional investors in London, though retail investors may be able to buy Air China shares in Hong Kong.Air China's primary listing will be in Hong Kong, with a secondary listing in London.Air China plans to raise $1bn (Â£514m) from the flotation.The shares will be denominated in Hong Kong dollars.""We are delighted that Air China has chosen London for its listing outside China,"" said LSE chief executive Clara Furse.The LSE has been working hard to woo Chinese companies to choose London, rather than New York for their listings."
269,"Oil prices reach three-month low

Oil prices have fallen heavily for a second day, closing at three-month lows after news that US crude stocks have improved ahead of winter.

Analysts, however, say prices will fall further if inventories continue to rise.The stronger fuel inventories helped boost US stock markets to nine-month highs on Wednesday, though only the Nasdaq index had hung onto those gains by the end of Thursday.

Analysts also attributed the fall to mild early-winter weather, which has tempered demand for heating oil.

The price of crude is still up about 30% on the start of 2004, but has fallen from the record of $55.67 set in late October.The falls were triggered when the Energy Information Administration (EIA) said on Wednesday that US crude stocks were 3.5% higher than a year ago.Weak US fuel and heating oil stocks have been a persistent factor in pushing up oil prices."
270,"Mr Dein also warned the current level of TV coverage of the Premiership may be reaching saturation level, with signs that match attendances have been dropping off in the first few months of this season.

Speaking at the Soccerex football business forum in Dubai, he said a full listing was ""one of the options"" for funding after the club moves to its new stadium.""We have got a very good product, so it is very important we go and look at these markets, and make sure we are on the case.The club is funding its move to Ashburton Grove through a number of sources, including debt from banks, from money it already has and will receive in coming years from sponsors, and from the sale of surplus property, including its Highbury Stadium.When Arsenal moves to its new stadium it will see its proportion of turnover from media earnings drop from 52% this season to 34% in two years' time.The club - which is currently listed on the smaller Ofex share exchange - is due to move into its new 60,000-seater Emirates Stadium at Ashburton Grove for the start of the 2006/07 season.""
"
271,"Markets signal Brazilian recovery

The Brazilian stock market has risen to a record high as investors display growing confidence in the durability of the country's economic recovery.

President da Silva has defended his policies, arguing that Brazil cannot afford to continue the cycle of boom and bust which afflicted it in recent decades.
Investors have praised his handling of the economy as foreign investment has risen, unemployment has fallen and inflation has been brought under control.Economic output declined 0.2% in 2003 and President Luiz Inacio Lula da Silva - elected as Brazil's first working-class president in 2002 - was strongly criticised for pursuing a hardline economic policy.

Brazil's currency, the real, also rose to its highest level against the dollar in more than two years on Friday.Brazil is recovering from last year's recession - its worst in a decade.

This has earned him the disapproval of rural farm workers, thousands of whom who took to the streets of Brasilia on Thursday to protest against government policies."
272,"And Mr Greenspan said that could turn into a trend, if the fall of the dollar kept eating into the value of those investments.Markets fall on weak dollar fears

Rising oil prices and the sinking dollar hit shares on Monday after a finance ministers' meeting and stern words from Fed chief Alan Greenspan.

G20 finance ministers said nothing about supporting the dollar, whose slide could further jeopardise growth in Japan and Europe.US exports get more affordable, helping perhaps to close the trade gap.Similarly, Asian investment helps bridge the gap in the current account - the deficit between what the US as a whole spends and what it earns.At present, much of gap in both public debt is covered by selling bonds to Asian states such as Japan and China, since the dollar is seen as the world's reserve currency.And last week US Treasury Secretary John Snow told an audience in the UK that the policy remained unaltered."
273,"Google shares fall as staff sell

Shares in Google have fallen 6.7% after employees and early investors in the web search took advantage of the first chance to sell their holdings.

There were fears that the potential increase of shares in circulation from Tuesday would ease demand for stock.The restriction - known as a lockup - is being eased piecemeal: in all, some 227 million additional shares will become free to trade by February 2005.Selling the shares could turn many of Google's workers into millionaires.

In one of the most closely-watched initial public offerings in stock market history, the US-based company sold 19.6 million shares at $85 each.However, analysts say they expected most shareholders would be holding back from selling all their shares immediately, as Google's good performance and future growth potential means demand will hold.

Google shares have risen since but fell $12.33 on Tuesday to close at $172.55."
274,"But the figures are embarrassing for the government.Five million Germans out of work

Germany's unemployment figure rose above the psychologically important level of five million last month.

""Yes, we have effectively more than five million people unemployed,"" a government minister said earlier on ZDF public television.Under the government's controversial ""Hartz IV"" reforms, which came into effect at the beginning of the year, both those on unemployment benefits and welfare support and those who are long-term unemployed are officially classified as looking for work.""

""They could well put an end to the recent renaissance we've seen by the SPDOn Wednesday, the German Federal Labour Agency said the jobless total had reached 5.037 million in January, which takes the jobless rate to 12.1%."
275,"India power shares jump on debut

Shares in India's largest power producer, National Thermal Power Corp (NTPC) have risen 13% on their stock market debut.

Analysts say the success of the NTPC flotation would encourage the government to reduce stakes in more power companies.The 865 million share offer, a mix of new shares and sales by the government, raised 54bn rupees($1.2bn).""It is a good investment bet,"" said Suhas Naik, an investment analyst from ING Mutual Fund.The firm is the largest utility company in India, and the sixth largest power producer in the world.
""Power needs in India are set to rise and NTPC will benefit from that.""NTPC has said it will use the money from the share sale to feed the growing needs of the country's energy-starved economy."
276,"Turkey turns on the economic charm

Three years after a gruelling economic crisis, Turkey has dressed its economy to impress.

Turkey could also help alleviate a labour shortage in ""Old Europe"" once its population comes of age.""In the new member states of the European Union, gross public debt is typically about 40% of gross domestic product,"" says Reza Moghadam, assistant director of the IMF's European Department.However, Turkey's assertions are confirmed by Brussels' own impact studies, which indeed say that Turkish membership would be good news for the EU economy.""Turkey will not be a burden for the EU budget.""As Turkey's gross domestic output (GDP) is set to grow by 6% per year on average, its contribution would rise from less than 5bn euros in 2014 to almost 9bn euros by 2020.The economy is growing fast, they insist."
277,"SBC plans post-takeover job cuts

US phone company SBC Communications said it expects to cut around 12,800 jobs following its $16bn (Â£8.5bn) takeover of former parent AT&T.

SBC said 5,125 positions would go as a result of network efficiencies.The takeover is subject to approval by AT&T's shareholders and regulators.Both also have data network businesses.Another 1,700 will go from its sales department, 3,400 from business operations and 2,600 across legal, advertising and public relations.SBC currently employs 163,000 people while AT&T employs 47,000.It effectively marks the end of AT&T, which was founded in 1875 by telephone pioneer Alexander Graham Bell and is one of the US's best-known companies.AT&T is a long-distance telecoms firm, while SBC is mainly focused on the local market in the western US."
278,"German bidder in talks with LSE

Deutsche Boerse bosses have held ""constructive, professional and friendly"" talks with the London Stock Exchange (LSE), its chief has said.

But, Hans Reckers, a board member of Germany's central bank, the Bundesbank, said that cash trading should also remain in Frankfurt, something Deutsche Boerse could move to the UK.The news came as Deutsche Boerse held its third meeting with the LSE since its bid approach in December which was turned down by the London exchange for undervaluing the business.Ahead of talks with the LSE on Friday, the pan-European bourse said it may be prepared to make its offer in cash.In the meantime, Euronext, which combines the Paris, Amsterdam and Lisbon stock exchanges, also began talks with the LSE.""It is not just the headquarters of the Boerse but also important market segments that must stay permanently in Frankfurt.The Paris-based exchange, owner of Liffe in London, is reported to be ready to raise Â£1.4bn to fund a bid.

"
279,"""This is an excellent move by American Express to focus on its core businesses, and sell off a laggard division, which has been a problem for quite some time,"" said Marquis Investment Research analyst Phil Kain.The US credit card to travel services giant said off-loading American Express Financial Advisors (AEFA) would boost its profitability.The unit was acquired by American Express 20 years ago as Investors Diversified Service, of Minneapolis, at a time when firms were amassing one-stop financial empires.Over the years it has delivered poor profits and even some losses.

Analysts estimate that a stand-alone AEFA could have a market value of $10bn (Â£5.3bn).AEFA has more than 12,000 advisers selling financial advice, funds and insurance to 2.5 million customers.However, the business of selling investments was never integrated with the rest of the group.
"
280,"Regular annual bonus rates on former Axa Equity & Law with-profits policies are to be cut from 2% to 1% for 2004.Axa blamed a poor stock market performance for the cut, adding that recent gains have not yet offset the market falls seen in 2001 and 2002.However, heavy stock market falls throughout 2001 and 2002 forced most firms to trim bonus rates on their policies.The cuts on Axa's policies will mean a policyholder who had invested Â£50 a month into an endowment policy for the past 25 years would see a final maturity payout of Â£46,998.Axa cut payouts for the same investors last January.
The rest will know their fate in March.

Axa Sun Life cuts bonus payments

Life insurer Axa Sun Life has lowered annual bonus payouts for up to 50,000 with-profits investors.

"
281,"The China Three Gorges Project Corp is refusing to obey a government order to stop construction of one of its giant dams, the Chinese state press has said.

The builder of the Three Gorges Dam is continuing work on the sister Xiluodu dam, said the Beijing News.In 2004, China increased its generating capacity by 12.6% to 440,700 megawatts (MW).Chinese dam firm 'defies Beijing'

The Xiluodu dam is one of 30 such large-scale construction projects called to a halt because of a lack of proper environmental checks.The firm has also ignored orders to stop construction at two of its other projects - the Three Gorges Underground Power Plant and the Three Gorges Project Electrical Power Supply Plant.

So far, only 22 of the 30 construction projects targeted by China's State Environmental Protection Agency (Sepa) for having not carried out mandatory environmental impact assessments have complied with its shutdown order."
282,"Stock market eyes Japan recovery

Japanese shares have ended the year at their highest level since 13 July amidst hopes of an economic recovery during 2005.

The optimism in the financial markets contrast sharply with pessimism in the Japanese business community.Slower economic growth, rising oil prices, a stronger yen and weaker exports were blamed for the fall in confidence.Despite this, traders expect strength in the global economy to benefit Japan, which has been close to sliding into recession in recent months.Earlier this month, the quarterly Tankan survey of Japanese manufacturers found that business confidence had weakened for the first time since March 2003.

In 2005 it ""will rise toward 13,000"", predicted Morgan Stanley equity strategist Naoki Kamiyama.The Nikkei index of leading shares gained 7.6% during the year to close at 11,488.76 points."
283,"Hopes are high for the future of finance, so foreign banks have been buying into the sector.Blackwatch's Baghdad-based affiliate Falcon Group has dozens of people working for it across the country in Kirkuk and Baghdad, and its engineers and geo-scientists work with the Iraqi oil ministry to hammer out technology transfer issues, Mr Hadi points out.But the involvement of foreign firms in the health and banking sectors and beyond sits uneasily with many Iraqis who are accustomed to the state taking responsibility for functions that are essential to making society work, observes Ms Alexander.Iraqi voters turn to economic issues

Beyond the desperate security situation in Iraq lies an economy in tatters.

Observes Mr Hadi: ""The economy at present marks a big divide; the rich get richer, the poor get poorer.""Job creation ranks high both on election manifestos and on the Iraqi people's wish list.Foreign firms also hope to cash in on the reconstruction effort."
284,"Their economic targets became known as the Lisbon Agenda.EU 'too slow' on economic reforms

Most EU countries have failed to put in place policies aimed at making Europe the world's most competitive economy by the end of the decade, a report says.

The study, undertaken by the European Commission, sought to assess how far the EU has moved towards meeting its economic targets.But the Commission report says that, in most EU countries, the pace of economic reform has been too slow, and fulfilling the Lisbon ambitions will be difficult - if not impossible.

In 2000, EU leaders at a summit in Lisbon pledged the European economy would outstrip that of the US by 2010.Only the UK, Finland, Belgium, Denmark, Ireland and the Netherlands have actually followed up policy recommendations.It also set out to raise the amount the private sector spends on research and development, while bringing about greater discipline over public spending and debt levels."
285,"China raised rates by 0.27 percentage points to 5.8% - its first hike in nine years - in October 2004.

China continues breakneck growth

China's economy has expanded by a breakneck 9.5% during 2004, faster than predicted and well above 2003's 9.1%.

Despite urging to ease the peg, officials insist they are a long way from ready to make a shift to a more market-set rate.Despite the apparent rebalancing of the economy the overall growth picture remains strong, economists said.But officials pointed out that industrial growth had slowed, with services providing much of the impetus.And overall investment in fixed assets was still high, up 21.3% from the previous year - although some way off the peak of 43% seen in the first quarter of 2004.Figures released earlier this year showed exports at a six-year high in 2004, up 35%."
286,"The International Monetary Fund predicts that as the falling birth rate takes grip from 2010, the cost of running Japan's welfare state will double to more than 5% of GDP, while current account balances will deteriorate by over 2%.And when it comes to longevity, Japan, as a country, appears to be doing just that.And the 101-year-old Torao Toshitsune has eaten raw fish pretty much every day throughout his life.

In Japan, as in Europe which also faces a workforce decline, immigration is a very sensitive subject.By 2007, Japan's population is expected to peak at 127 million, then shrink to under 100 million by the middle of the century.Some voices in Japanese industry are calling for radical changes to the nature of the Japanese labour market.Japan's ageing workforce: built to last

In his twenties he battled tuberculosis for eight years, then went on to run his own clothing business before marrying in his late thirties."
287,"GE's net profits were $5.37bn (Â£2.86bn) for the final three months of 2004, while sales came in at $43.7bn.Last year, GE bought Vivendi Universal, merging it with NBC to form NBC Universal.The group, whose businesses range from jet engines to the NBC television channel, forecast sustained growth at between 10-15% for this year and next.""In the fourth quarter, nine of our 11 businesses delivered at least double-digit earnings growth,"" said Mr Immelt.""We are benefiting from our growth initiatives and an excellent global economy,"" said GE's chief executive Jeff Immelt.GE's shares rose 1% on the news before ending Friday 0.24% lower.

GE sees 'excellent' world economy

US behemoth General Electric has posted an 18% jump in quarterly sales, and in profits, and declared itself ""in great shape"".

"
288,"The BCC found confidence increased in the quarter across both the manufacturing and service sectors although overall it failed to reach the levels at the start of 2004.The reduced threat of interest rate increases had contributed to improved confidence, it said.However, the BCC found the whole UK economy still faced ""major risks"" and warned that growth is set to slow.The rise came despite exchange rates being cited as a major concern.The group's quarterly survey of companies found exports had picked up in the last three months of 2004 to their best levels in eight years.""Despite some positive news for the export sector, there are worrying signs for manufacturing,"" the BCC said.""
"
289,"Rising interest rates and the accompanying slowdown in the housing market have knocked consumers' optimism, causing a sharp fall in demand for expensive goods, according to a report earlier this week from the British Retail Consortium.Some economists have predicted rates will drop later in the year, although others feel the Bank may still think there is a need for a rise to 5% before that happens.Rates went up five times from November 2003 - as the bank sought to cool the housing market and consumer debt - but have remained unchanged since August.""However, should the business outlook start to deteriorate, the Bank should stand ready to cut rates.""Bank holds interest rate at 4.75%

The Bank of England has left interest rates on hold again at 4.75%, in a widely-predicted move.

""So far the evidence suggests that last year's rate increases have helped to rebalance the economy without damaging the recovery in manufacturing,"" said EEF chief economist, Steve Radley.""Interest rates are likely to remain on hold for some time."
290,"Tobacco giants hail court ruling

US tobacco companies have welcomed an appeal court's decision to reject the government's $280bn (Â£155bn) claim for alleged deceit about smoking dangers.

The three-judge panel in the District of Columbia's Court of Appeals ruled on Friday that the US government could not sue the firms under the anti-racketeering laws.Anti-smoking groups urge the government to fight on, but the Justice Department has not said if it will appeal.Among the accused were Altria Group, RJ Reynolds Tobacco, Lorillard Tobacco, Liggett Group and Brown and Williamson.They brought the case under racketeering laws, which were passed to deny mafia gangs the profits of their crimes.The court in Washington found the case - filed by the Clinton administration in 1999 - could not be brought under federal anti-racketeering laws.""Today's ruling should not be an excuse for this administration to seek a weak settlement that lets the tobacco industry off the hook,"" he said.
"
291,"""Manufacturing is a cyclical area of the economy and if it's showing job growth, it's a good indication that the economy is on a solid growth track.""Steady job growth continues in US

The US created fewer jobs than expected in December, but analysts said that the dip in hiring was not enough to derail the world's biggest economy.

The unemployment rate stayed at 5.4% in December, and about 200,000 jobs will need to be created each month if that figure is to drop.

While worries still remain, the conditions are set for steady growth in 2005, analysts said.Job creation was one of last year's main concerns for the US economy.That means that the Federal Reserve is likely to continue its policy of raising interest rates.But economists said there could be a number of reasons for a fall in the borrowing, which include credit cards and personal loans, while noting that such figures can vary on a month-to-month basis.
"
